"pid","object_id","label","provenance_date","provenance_location","provenance_text"
"4457","2884","Aeneas Carrying Anchises from the Burning Troy (Amsterdam)","2004","France, Paris","Private Collection"
"4458","2884","Aeneas Carrying Anchises from the Burning Troy (Amsterdam)","2004","England, London","Collection of Johnny van Haeften Ltd."
"4459","2885","Aeneas Carrying Anchises from the Burning Troy (Cologne)","1996","Germany, Solingen","Gallery Müllenmeister"
"4460","2885","Aeneas Carrying Anchises from the Burning Troy (Cologne)","Oct 15 1996","Austria, Vienna","Sale, Dorotheum, Lot #113"
"4461","2885","Aeneas Carrying Anchises from the Burning Troy (Cologne)","Apr 7 2006","Austria, Vienna","Sale, Dorotheum, Lot #121"
"4462","2885","Aeneas Carrying Anchises from the Burning Troy (Cologne)","Sep 5 2006","Germany, Munich","Sale, Hampel"
"4463","2886","Aeneas Carrying Anchises from the Burning Troy (London)","ca. 1975",,"Acquired by the father of the current owner"
"4464","2887","Aeneas Carrying Anchises from the Burning Troy (Munich)",,"Germany, Munich","Kurfürstlichen Gallery"
"4465","2888","Aeneas Carrying Anchises from the Burning Troy (Paris)","1947",,"Acquired from Ellis & Smith at the Antique Dealers Fair"
"4466","2888","Aeneas Carrying Anchises from the Burning Troy (Paris)","Nov 16 1998","England, London","Sale, Christie's, Lot #3 (as 'attributed to Jan I')"
"4467","2888","Aeneas Carrying Anchises from the Burning Troy (Paris)","1999","England, London","Gallery Bernheimer"
"4468","2890","Aeneas and Sibyl in the Underworld (Amsterdam)","Until 2004","France","Private Collection"
"4469","2890","Aeneas and Sibyl in the Underworld (Amsterdam)","2005","England, London","Collection of Johnny van Haeftn Ltd."
"4470","2891","Aeneas and Sibyl in the Underworld (Budapest, 551)","1871","Austria, Laxenburg","Esterházy Collection, Schloss Laxenburg"
"4471","2892","Aeneas and Sibyl in the Underworld (Budapest, 553)",,"Austria, Laxenburg","Esterházy Collection, Schloss Laxenburg"
"4472","2892","Aeneas and Sibyl in the Underworld (Budapest, 553)","1812","Hungary, Budapest","Szepmuveszeti Museum, 1812 catalogue, X, #19 as Pieter the Younger"
"4473","2893","Aeneas and Sibyl in the Underworld (London)","Jul 12 2001","England, London","Sale, Christie's"
"4474","2893","Aeneas and Sibyl in the Underworld (London)","2002","England, London","Richard Green Gallery"
"4475","2893","Aeneas and Sibyl in the Underworld (London)","Jul 4 2007","England, London","Sale, Sotheby's, Lot #20 (for 1,924,000 pounds)"
"4476","2894","Aeneas and Sibyl in the Underworld (Rome)","16th-17th century","Italy, Rome","Probably collection of Cardinal Ascanio Colonna"
"4477","2895","Aeneas and Sibyl in the Underworld (Vienna)","1619","Austria, Vienna","Vienna Inventory H, inv. #7 (as ""Ein taffel von cupfer, Eneas mit den Sibilien in der Höllen, gar konstreich gemacht vom Brigel"")"
"4483","2897","Albert and Isabella before Mariemont Castle","Until 1799","Germany, Mannheim","From Galerie Mannheim"
"4484","2897","Albert and Isabella before Mariemont Castle","1799","Germany, Munich","Purchased by Alte Pinakothek"
"4501","2900","Allegory of Abundance (Venus, Ceres and Bacchus)","Until 1970","Italy, Milan","(Possibly Milan) Collection of Antonio Colombo"
"4502","2900","Allegory of Abundance (Venus, Ceres and Bacchus)","Oct 20 1970","Italy, Milan","Sale, Finarte, Lot #5"
"4503","2900","Allegory of Abundance (Venus, Ceres and Bacchus)","1979","France","Private Collection"
"4504","2900","Allegory of Abundance (Venus, Ceres and Bacchus)","Dec 13 1991","England, London","Sale, Christie's, Lot #6"
"4505","2900","Allegory of Abundance (Venus, Ceres and Bacchus)","1996","Austria, Vienna","Gallery Asenbaum"
"4506","2900","Allegory of Abundance (Venus, Ceres and Bacchus)",,"Italy","Private Collection"
"4520","2904","Allegory of Air (Rome)","1742","Italy, Rome","Galleria Doria Pamphilj, Catalogue 1742, Inv. #328"
"4521","2905","Allegory of Air and Fire","1764","Germany, Potsdam","Prussian Castle and Garden Berlin-Brandenburg"
"4522","2905","Allegory of Air and Fire","1942 to 1945","Germany, Rheinsberg",
"4523","2905","Allegory of Air and Fire","Until 1958","Russia","In the USSR"
"4524","2905","Allegory of Air and Fire","1961","Germany, Potsdam","Returned to Potsdam"
"4525","2906","Allegory of Autumn","Dec 12 1979","England, London","Sale, Sotheby's, Lot #44 (as Pieter Schoubroeck)"
"4526","2906","Allegory of Autumn","Apr 18 1997","England, London","Sale, Christie's (as Marten Ryckaert)"
"4527","2907","Allegory of Autumn (Neuburg an der Donau)","1716","Germany, Düsseldorf","Galerie Düsseldorf, inv. #334, as ""by Velvet Brueghel and Van Balen"""
"4528","2907","Allegory of Autumn (Neuburg an der Donau)","1730","Germany, Mannheim","Mannheim Gallery, inv. #9"
"4529","2907","Allegory of Autumn (Neuburg an der Donau)","1822 to 1939","Germany, Munich","inv. #2120"
"4530","2907","Allegory of Autumn (Neuburg an der Donau)","1966","Germany","Restored by the Federal Repbulic of Germany"
"4543","2911","Allegory of Earth (Rome)","By 1819","Italy, Rome","Galleria Doria Phamphij"
"4544","2912","Allegory of Earth and Water","1754","Germany, Potsdam","Prussian Castle and Garden Berlin-Brandenburg"
"4545","2912","Allegory of Earth and Water","1942 to 1945","Germany, Rheinsberg",
"4546","2912","Allegory of Earth and Water","1958","Russia","In the USSR"
"4547","2912","Allegory of Earth and Water","1961","Germany, Potsdam","Returned to Potsdam"
"4548","2913","Allegory of Fire: Venus in the Forge of Vulcan (Berlin)",,"Germany","(Probably Germany) Eichel Collection"
"4549","2913","Allegory of Fire: Venus in the Forge of Vulcan (Berlin)","1763","Germany, Potsdam","Inventory of Neue Schloss"
"4550","2913","Allegory of Fire: Venus in the Forge of Vulcan (Berlin)","1931","Germany, Berlin","Kaiser Friedrich Museum"
"4551","2913","Allegory of Fire: Venus in the Forge of Vulcan (Berlin)","1945",,"Destroyed"
"4552","2914","Allegory of Fire: Venus in the Forge of Vulcan (England)","18th century","England","In the same collection since the 18th century."
"7337","2915","Allegory of Fire: Venus in the Forge of Vulcan (London)","1935","Germany, Berlin","Galerie van Diemen"
"4553","2915","Allegory of Fire: Venus in the Forge of Vulcan (London)","Apr 20 1988","England, London","Sale, Sotheby's, Lot #53 (as 'attributed to Jan I')"
"7338","2915","Allegory of Fire: Venus in the Forge of Vulcan (London)","1988 to 2016",,"Private collection"
"7339","2915","Allegory of Fire: Venus in the Forge of Vulcan (London)","2016","France, Paris","With Bob Haboldt; shown at TEFAF"
"4560","2918","Allegory of Fire: Venus in the Forge of Vulcan (Rome)","17th century","Italy, Rome","Possibly acquired by Camillo Pamphili"
"4561","2918","Allegory of Fire: Venus in the Forge of Vulcan (Rome)","1819",,"Galleria Doria Pamphilj (Listed n the Fidecommissario Catalog as 'Brueghel' in 1819)"
"4562","2919","Allegory of Fire (Milan)","1618","Italy, Milan","Donated by Cardinal Borromeo to Ambrosiana"
"4563","2920","Allegory of Gambling: Monkeys Playing a Board Game","1990","Netherlands, Amsterdam","Gallery Roelofsz"
"4564","2921","Allegory of Love","Apr 5 2008","England, London","Sale, Christie's, Lot #3 (as 'Hendrick van Balen')"
"4565","2922","Allegory of Peace","Before 1964","England, London","Private Collection"
"4566","2922","Allegory of Peace","1964","Germany, Munich","Private Collection"
"4567","2922","Allegory of Peace","Dec 18 1987","England, London","Sale, Christie's, Lot #73"
"4568","2922","Allegory of Peace","1988","France, Paris","Galerie d'Art St. Honoré, cat. 1988, inv. #21"
"4569","2923","Allegory of Public Welfare","1821",,"inv. #1042 as ""M. de Vos"""
"4570","2923","Allegory of Public Welfare","1871","Austria, Laxenburg","Esterházy Collection, Schloss Laxenburg"
"4571","2924","Allegory of Sight and Smell","1623","Belgium, Flanders","One of 25 paintings sent from Flanders to Queen Isabel de Bourbon"
"4572","2924","Allegory of Sight and Smell","1636","Spain, Madrid","In the Alcazar ""in the room where the king eats during the summer"" (attributed to Rubens and Brueghel)"
"4573","2925","Allegory of Sound: The Bird Concert",,"Scotland","Private Collection"
"4574","2926","Allegory of Spring (Neuburg an der Donau)","1716","Germany, Düsseldorf","Galerie Düsseldorf, inv. #343 as ""door den Fluweelen Bruegel en van Balen"""
"4575","2926","Allegory of Spring (Neuburg an der Donau)","1730","Germany, Mannheim","Mannheim Gallery"
"4576","2926","Allegory of Spring (Neuburg an der Donau)","1822 to 1939","Germany, Munich","Inv. #2219"
"4577","2926","Allegory of Spring (Neuburg an der Donau)","1966","Germany","Restored by the Federal Republic of Germany"
"4578","2927","Allegory of Summer","Dec 12 1979","England, London","Sale, Sotheby's, Lot #44 (as Pieter Schoubroeck)"
"4579","2927","Allegory of Summer","Apr 18 1997","England, London","Sale, Christie's (as Marten Ryckaert)"
"4580","2928","Allegory of Summer (Neuburg an der Donau)",,"Germany, Düsseldorf","Galerie Düsseldorf, inv. #333 as ""door den Fluweelen Breugel en van Balen"""
"4581","2928","Allegory of Summer (Neuburg an der Donau)","1730","Germany, Mannheim","Galerie Mannheim, inv. #9"
"4582","2928","Allegory of Summer (Neuburg an der Donau)","1822","Germany, Munich","inv. #2120 (as Heinrich van Balen)"
"4583","2928","Allegory of Summer (Neuburg an der Donau)","1966","Germany","Restored by the Federal Republic of Germany"
"4584","2929","Allegory of Touch, Hearing and Taste","1623","Belgium, Flanders","One of 25 paintings sent from Flanders to Queen Isabel de Bourbon"
"4585","2929","Allegory of Touch, Hearing and Taste","1636","Spain, Madrid","In the Alcázar ""in the room where the king eats during the summer"" (attributed to Rubens and Brueghel)"
"4586","2930","Allegory of Vanity: The Feast of the Monkeys","20th century","Belgium, Brussels","Collection of Pelgrims de Bigard"
"4587","2930","Allegory of Vanity: The Feast of the Monkeys",,"Belgium, Brussels","de Pauw Collection"
"10259","2930","Allegory of Vanity: The Feast of the Monkeys","Apr 9 1986","England, London","Sold Sotheby's, #3, as Jan Brueghel the Younger"
"10260","2930","Allegory of Vanity: The Feast of the Monkeys",,"France, Paris","Gal. d'art St-Honoré"
"10261","2930","Allegory of Vanity: The Feast of the Monkeys","Jul 3 2013","England, London","Sold Sotheby's for 602,500 GBP as Jan Brueghel the Elder"
"4590","2931","Allegory of Vanity: The Feast of the Monkeys (Belgium)",,,"Private Collection, Belgium"
"4591","2932","Allegory of Water","1829 to 1930","Germany, Potsdam","Schloss Sanssouci (Picture Gallery GK), inv. #7722"
"4592","2932","Allegory of Water","1945","Germany, Berlin","Missing from Schloss Königs Wusterhausen since 1945"
"4606","2936","Allegory of Water (Milan)","1618","Italy, Milan","Donated to Ambrosiana by Cardinal Borromeo"
"4607","2937","Allegory of Water (Rome)","1654","France, Paris","Garms"
"4608","2937","Allegory of Water (Rome)",,"Italy, Rome","Bought for Prince Camilo Pamphilj"
"4609","2937","Allegory of Water (Rome)","1819","Italy, Rome","Galleria Doria Pamphilj (Listed in Fidecommissario Catalog as ""Brueghel,"" 1819)"
"4610","2938","Allegory of Winter (Neuburg an der Donau)","1716","Germany, Düsseldorf","Galerie Düsseldorf, inv. #334 as ""by Velvet Brueghel and Van Balen)"
"4611","2938","Allegory of Winter (Neuburg an der Donau)","1730","Germany, Mannheim","Galerie Mannheim, inv. #10"
"4612","2938","Allegory of Winter (Neuburg an der Donau)","1822 to 1939","Germany, Munich","inv. #2122"
"4613","2938","Allegory of Winter (Neuburg an der Donau)","1966",,"Returned to Germany in 1966"
"4619","2940","Allegory of the Four Elements","1734","Spain, Madrid","Collection of Alcazar of Madrid"
"4620","2940","Allegory of the Four Elements","1747","Spain, Madrid","Retiro, inv. #138"
"4621","2940","Allegory of the Four Elements","1772 to 1794","Spain, Madrid","Palacio Nuevo"
"4622","2941","Allegory of the Four Elements (Madrid)",,"Spain, Madrid","La Granja"
"4623","2941","Allegory of the Four Elements (Madrid)","1746","Spain, Madrid","Inventory as by Rottenhammer"
"4624","2942","Allegory of the Four Elements (Milan)","1618","Italy, Milan","Donated by Cardinal Borromeo to Ambrosiana"
"4625","2943","Allegory of the Four Elements (Vienna)","Before 1615","Austria, Vienna","Probably in collection of Rudolf II"
"4626","2943","Allegory of the Four Elements (Vienna)","Until 1780",,"Wiener Kunstkammer of Hofburg"
"4627","2943","Allegory of the Four Elements (Vienna)","1780","Slovakia, Bratislava","Moved to Pressburger Schloss"
"4628","2943","Allegory of the Four Elements (Vienna)","1781","Austria, Vienna","Returned to the Belvedere Castle"
"4629","2943","Allegory of the Four Elements (Vienna)","18th century to 19th century",,"Christian von Mechel 178, #76"
"4630","2943","Allegory of the Four Elements (Vienna)","19th century",,"Eduard von Engerth 729"
"4631","2943","Allegory of the Four Elements (Vienna)",,,"GNR. 906 (Cat. #1906, #1928, #1938)"
"7251","2945","Ancient Ruins","19th century to 20th century","Italy, Rome","Collezione Thomas Ashby"
"6845","2947","Ancient Ruins at Baiae","1753","England, London","Bequeathed by Sir Hans Sloane"
"4646","2948","Angels with Fruit Garland (Germany)","Until 1979","United States","Private Collection"
"4647","2948","Angels with Fruit Garland (Germany)","1979","England, London","Sale, Gallery Brod"
"4648","2948","Angels with Fruit Garland (Germany)","1979","Germany","Purchased by Private Collection"
"6953","2949","The Arch of Septimus Severus Seen from the West","Before 1931","Austria, Vienna","(Probably) Jurié von Lavandal"
"6954","2949","The Arch of Septimus Severus Seen from the West","Jun 2 2010","Austria, Vienna","Sale, Dorotheum, Lot #142 (as ""Bartholomeus Breenbergh"")"
"6955","2949","The Arch of Septimus Severus Seen from the West","2010","Germany, Munich","Sale, Katrin Bellinger Kunsthandel (Vendor)"
"6956","2949","The Arch of Septimus Severus Seen from the West","2010","Germany, Munich","Bought by Metropolitan Museum with Frits and Rita Markus Fund"
"4653","2950","Archduke Albert before Mariemont Castle (Germany)",,"France, Paris","Private Collection"
"4654","2950","Archduke Albert before Mariemont Castle (Germany)",,"France, Paris","Gallery Leegenhoek"
"4655","2950","Archduke Albert before Mariemont Castle (Germany)",,"Italy, Campione","Collection Silvano Lodi"
"4656","2951","Archduke Albrecht Before Tervueren Castle","1636","Spain, Madrid","Collection of Alcazar of Madrid"
"4657","2951","Archduke Albrecht Before Tervueren Castle","1819","Spain, Madrid","Transferred to The Prado"
"4658","2952","Attack by Bandits on a Forest Road","Jun 16 1931","Belgium, Brussels","(Probably) Sale, Fiévez, Lot #30"
"4659","2952","Attack by Bandits on a Forest Road","1932","Russia","Artibus Patriae Foundation"
"4660","2953","Attack on Traveler in the Woods","1885","Poland, Warsaw","Acquired from W. Kolansinski"
"4661","2954","Attack on a Convoy (Vienna)","1659","Austria, Vienna","Archduke Leopold Wilhelm, inv. #405"
"4662","2955","Autumn (Braunschweig)","1697","Germany, Braunschweig",
"4663","2956","Bacchanal","Dec 3 1963","Austria, Vienna","Sale, Dorotheum, Lot #15"
"4664","2956","Bacchanal","Nov 1965","England, London","Sale, Christie's, Lot #66"
"4665","2956","Bacchanal","Jul 1 1966","England, London","Sale, Christie's, Lot #79 (as ""Jan I"")"
"4666","2956","Bacchanal","1967","United States, New York, NY","Gallery Shickman"
"4667","2957","Bacchanal with Silenus","Until 1721",,"Gaibach Castle"
"6914","2958","Bacchus, Venus, and Ceres",,"United States, New Haven, CT","Egmont Collection, Yale Library Transfer"
"4668","2959","Bandit Encounter on the Way to Market","Until 1862","Russia, St. Petersburg","Hermitage"
"4669","2959","Bandit Encounter on the Way to Market","1862","Russia, St. Petersburg","Roumianzeff"
"4670","2960","Banquet of Odysseus with Calypso","1821","Austria, Vienna","Bequeathed by Lamberg Collection to Academy of Fine Arts"
"4671","2961","Baptism of Christ (Cologne)","Before 1990",,"Private Collection"
"4672","2961","Baptism of Christ (Cologne)","May 30 1990","United States, New York, NY","Auction, Habsburg-Feldman, Lot #30"
"4673","2961","Baptism of Christ (Cologne)","Feb 22 1984","England, London","Sale, Sotheby's, Lot #66"
"4674","2963","Baptism of Christ (Munich)","Before 1725","Germany, Munich","Acquired by Maximilian II Emanuel for the Electoral Gallery in Munich"
"4675","2964","Baptism of Christ (Private Collection)","Jun 23 2010","France, Paris","Sale, Christie's, Lot #23"
"4676","2964","Baptism of Christ (Private Collection)","Apr 13 2011","Austria, Vienna","Sale, Dorotheum, Lot #459 (as ""Jan Brueghel I and Hans Rottenhammer"")"
"4677","2964","Baptism of Christ (Private Collection)","Dec 4 2012","England, London","Sale, Christie's, Lot #21 (for 217,250 GBP)"
"4678","2965","Baptism of the Ethiopian Eunuch","1806","Germany, Düsseldorf","Galerie Düsseldorf, inv. #32 (as by Fruelen Brugel)"
"4679","2965","Baptism of the Ethiopian Eunuch",,"Germany, Passau","Temporarily in Passau, where stolen and damaged"
"4680","2965","Baptism of the Ethiopian Eunuch","Before 1968","Germany, Düsseldorf","Recovered and restored"
"6657","2966","Barge Moored to a Bank",,"England, London","P.H. Lankrink with Colnaghi's (Lugt 2090)"
"6658","2966","Barge Moored to a Bank","Jul 1937","England, Chesham","Bought by Sir Bruce Ingram (Lugt 1405a) with PD.209-1963"
"6659","2966","Barge Moored to a Bank","1963","England, Cambridge","Bequeathed by Sir Bruce to Fitzwilliam Museum"
"4683","2968","Basket and Glass Vase of Flowers (Washington)",,"Belgium, Brussels","General Bruylandt"
"4684","2968","Basket and Glass Vase of Flowers (Washington)","Oct 10 1967","Netherlands, Amsterdam","Brandt Gallery"
"4685","2968","Basket and Glass Vase of Flowers (Washington)",,"England, London","Speelman Ltd."
"4686","2968","Basket and Glass Vase of Flowers (Washington)","1968","United States","Sale to Mr and Mrs. Paul Mellon, Virginia, 1968"
"4687","2968","Basket and Glass Vase of Flowers (Washington)","1992","United States, Washington, DC","Donated to National Gallery of Art by Mrs. Paul Mellon"
"4688","2969","Basket of Flowers (New York)","Jun 24 1946 to Oct 5 1956","United States, Hartford, CT","On loan to Wadsworth Atheneum"
"4689","2969","Basket of Flowers (New York)","1967","United States, New York, NY","Bequeathed by Miss Adelaide Milton de Groot to Metropolitan Museum of Art (as Jan Brueghel the Younger)"
"4690","2970","Battle Scene","1979","Germany, Bendorf","Hardy Collection"
"7345","2971","Battle of the Amazons","17th century","Italy, Genoa","Genoese noble collection"
"7346","2971","Battle of the Amazons","ca. 1920","Belgium, Antwerp","Purchased by Bernard Verrijken "
"7347","2971","Battle of the Amazons","ca. 1960","Belgium, Antwerp","Inherited from Bernard Verrijken by grandson Emile Verrijken, Esq. "
"7348","2971","Battle of the Amazons","1993",,"Roderick LaShelle Collection "
"4691","2972","Battle of the Amazons (Potsdam)","1638","Belgium, Antwerp","This is or another version with Jan Snellinck"
"8790","2973","Battle of the Amazons (Private Collection)","Oct 1638","Belgium, Antwerp","In estate of Jan Snellinck, cousin of Jan Brueghel"
"4692","2973","Battle of the Amazons (Private Collection)","1682","Belgium, Antwerp","Collection of Diego Duarte"
"4693","2973","Battle of the Amazons (Private Collection)","1699",,"Inventory of Schloss Oranienburg"
"4694","2973","Battle of the Amazons (Private Collection)","1710","Germany, Berlin",
"4695","2973","Battle of the Amazons (Private Collection)","1806","France, Paris","Musée Napoleon"
"10062","2973","Battle of the Amazons (Private Collection)",,"Belgium","Private Collection"
"10063","2973","Battle of the Amazons (Private Collection)",,"England, London","Private collection"
"10064","2973","Battle of the Amazons (Private Collection)","ca. 1965","England, London","Acquired by the Smith-Maxwell family"
"4696","2974","Battle of the Israelites and the Amalekites","1707","Germany, Dresden","Described in ""Specificatio"" of Tobias Beutel as ""Moses und Aaron"""
"4697","2974","Battle of the Israelites and the Amalekites","1817","Germany, Dresden","Dresden Collection Catalog, 1817"
"6808","2977","Boat Building","1753","England, London","Bequeathed by Sir Hans Sloane"
"6912","2978","Boats Sailing on a River, a Country House in the Distance",,"United States, New Haven, CT","Egmont Collection, Yale Library Transfer"
"7115","2979","Boats and Canoes in the Middle of a River","1695","France, Paris","Everhard Jabach (Lugt 2959), Inventory #144 (as Jan Brueghel II)"
"7116","2979","Boats and Canoes in the Middle of a River","17th century to 18th century","France, Paris","Pierre Crozat"
"7117","2979","Boats and Canoes in the Middle of a River","18th century","France, Paris","Saint-Morys, Ch. Edward JB of Bourgevin Vialart"
"7118","2979","Boats and Canoes in the Middle of a River","1793",,"Seized during the French Revolution"
"7119","2979","Boats and Canoes in the Middle of a River","1796 to 1797","France, Paris","Musée Napoléon"
"7133","2980","Boats on a Wide Tree-Lined River, Houses and Figures",,"France, Paris","Musée Napoléon"
"4708","2982","Bouquet in a Stoneware Vase","Before 1960","Germany, Munich","Adolf Weinmüller"
"4709","2982","Bouquet in a Stoneware Vase",,"Switzerland","Private Collection"
"4710","2982","Bouquet in a Stoneware Vase","2004","France, Paris","Gombe Gallery"
"4711","2982","Bouquet in a Stoneware Vase","2012","Sweden, Stockholm","Amelis"
"4712","2983","Bouquet in a Glass Vase (Amsterdam)","1903","Netherlands, The Hague","Bequeathed by  A.A. des Tombe to The Hague"
"4713","2984","Bouquet in a Glass Vase (Basel)","1935","Netherlands, Amsterdam","Galerie de Boer, inv. #40"
"4714","2984","Bouquet in a Glass Vase (Basel)",,"Switzerland, Basel","Dr. T. Christ"
"4715","2985","Bouquet in a Glass Vase (Cologne)","May 16 2008","Germany, Cologne","Sale, Van Ham Fine Art Auctions, Lot #337"
"4716","2986","Bouquet in a Glass Vase (Frankfurt)","1892",,"Legat Gontard"
"4717","2986","Bouquet in a Glass Vase (Frankfurt)",,,"Hardy Collection"
"4724","2989","Bouquet in a Glass Vase (New York)","1942","United States, New York, NY","Victor Spark Gallery"
"4725","2989","Bouquet in a Glass Vase (New York)","Jun 5 1980","United States, New York, NY","Sale, Christie's"
"4738","2991","Bouquet in a Sculpted Vase Beside a Wreath of Flowers (Berlin)","1862","Germany, Berlin","Berlin Gemäldegalerie"
"4739","2992","Bouquet in a Small Glass Vase (Zurich)","Dec 8 2004","England, London","Sale, Bonhams, Lot #79 (as Jan Brueghel the Younger)"
"4740","2993","Bouquet of Flowers in a Chinese Vase (Germany)",,"England, Wingfield","Collection of Graham Baron Ash at Wingfield Castle"
"4741","2993","Bouquet of Flowers in a Chinese Vase (Germany)",,"United States, Blackburg, VA","Collection of Rev. John Arthur Rushton"
"4742","2993","Bouquet of Flowers in a Chinese Vase (Germany)","Oct 4 1967",,"Sale, Christie's, Lot #155"
"4743","2993","Bouquet of Flowers in a Chinese Vase (Germany)","Until 1979","France","Private Collection"
"4744","2993","Bouquet of Flowers in a Chinese Vase (Germany)",,"Italy, Campione","Collection of Silvano Lodi"
"4751","2995","Bouquet of Flowers in a Chinese Vase (The Hague)","ca. 1930","Austria, Vienna","Galerie Sanct Lucas"
"4752","2995","Bouquet of Flowers in a Chinese Vase (The Hague)","ca. 1930","Netherlands, The Hague","Galerie Internationale"
"4753","2995","Bouquet of Flowers in a Chinese Vase (The Hague)","1934","Netherlands, Amsterdam","Galerie de Boer"
"4754","2995","Bouquet of Flowers in a Chinese Vase (The Hague)","1939","Netherlands, The Hague","Private Collection of Ant. Aarts"
"4755","2995","Bouquet of Flowers in a Chinese Vase (The Hague)","1941","Netherlands, The Hague","Th. F. Thurkow"
"4764","2997","Bouquet with Mourning Iris in a Stoneware Vase (Cambridge)","1939","Germany, Berlin","Hinrichsen en Lindpaintner"
"4765","2997","Bouquet with Mourning Iris in a Stoneware Vase (Cambridge)","Before 1948",,"Miss Beaumont"
"4766","2997","Bouquet with Mourning Iris in a Stoneware Vase (Cambridge)","1948","England, London","Slatter Gallery"
"4767","2997","Bouquet with Mourning Iris in a Stoneware Vase (Cambridge)","May 13 1948","England, London","Sale, Christie's, Lot #104"
"4768","2997","Bouquet with Mourning Iris in a Stoneware Vase (Cambridge)",,"England, Broughton","Collection of Henry Rogers, 2nd Baron of Fairhaven, Leigh-on-Sea"
"4769","3000","Bouquet with Mourning Iris in a Stoneware Vase (Prague)","1911",,"Alphons v. Rothschild Collection"
"4770","3000","Bouquet with Mourning Iris in a Stoneware Vase (Prague)","1939",,"Šilheřovice Castle"
"4771","3000","Bouquet with Mourning Iris in a Stoneware Vase (Prague)","1939","Czech Republic, Prague","Donated to the National Gallery"
"4772","3001","Bouquet with Poem","Dec 1 1978","France, Paris","Sale, Hôtel Drouôt"
"4773","3001","Bouquet with Poem","1979 to 1983","England, London","Richard Green Gallery"
"4774","3002","Bouquet with Tulips (Dusseldorf)","1937","Germany, Düsseldorf","Gallery Stern"
"4775","3003","Bridge of Talavera","1879","France, Paris","Bequeathed by Louis La Caze to the Louvre"
"4776","3004","Bright Forest Landscape with Hunters","2004","England, London","Derek Johns Gallery"
"4777","3004","Bright Forest Landscape with Hunters","Apr 20 2004","England, London","Sale, Sotheby's, Lot #249 (as ""Follower of Jan I"")"
"4778","3004","Bright Forest Landscape with Hunters","Oct 20 2014","Austria, Vienna","Sale, Dorotheum, Lot #35 (as ""Jan Brueghel I"")"
"4779","3005","Broad Landscape with Dairy Farming","1636","Spain, Madrid","In the Alcázar, ""in the room before the bed chamber where the King dines"""
"4780","3005","Broad Landscape with Dairy Farming","1703","Spain, Madrid","Portrait room in El Pardo"
"4781","3005","Broad Landscape with Dairy Farming","1772","Spain, Madrid","Palacio Nuevo"
"4782","3005","Broad Landscape with Dairy Farming","1794","Spain, Madrid","Library Hall as ""school of Brueghel"""
"4783","3006","Broad Landscape with Mills (London)","1712 to 1785","France, Paris","(Possibly Paris) Cabinet Duc de Praslin"
"4784","3006","Broad Landscape with Mills (London)","1785","England, Sussex","Collection of W.S.C. Curtis, Marley House, Battle"
"4785","3006","Broad Landscape with Mills (London)",,"England, London","Gallery Speelman"
"4786","3006","Broad Landscape with Mills (London)","1961",,"Private Collection"
"4787","3007","Broad Landscape with Travelers","1723","Czech Republic, Prague","Wrzowecz Collection"
"4788","3007","Broad Landscape with Travelers","ca. 1723","Germany, Saxony","Collection of Friedrich August II, King of Poland, Prince Elector of Saxony"
"4789","3007","Broad Landscape with Travelers","1925","Germany, Dresden","Kurfürstlichen Kunstkammer"
"4790","3007","Broad Landscape with Travelers","Before 1958","Germany, Saxony","Halle on the Saale, Royal House of Wettin"
